Nama Gambar,Area,Perimeter,Circularity
10.jpg,19217.00,1234.60,0.158
100.jpg,42025.00,820.00,0.785
1001.jpg,12615.50,1201.79,0.110
1002.jpg,46737.50,2127.66,0.130
1007.jpg,5227.50,928.93,0.076
1011.jpg,19679.50,1337.28,0.138
1012.jpg,15029.00,941.38,0.213
1015.jpg,37173.00,1471.79,0.216
1017.jpg,18650.00,2235.48,0.047
1019.jpg,89401.00,1196.00,0.785
109.jpg,58011.00,1000.00,0.729
116.jpg,57096.00,990.00,0.732
117.jpg,38430.00,786.00,0.782
125.jpg,22463.50,1316.02,0.163
127.jpg,3676.50,602.54,0.127
137.jpg,8168.00,571.56,0.314
14.jpg,33812.50,768.87,0.719
140.jpg,19181.00,1801.65,0.074
143.jpg,36695.00,768.00,0.782
144.jpg,22017.00,604.00,0.758
147.jpg,27829.50,2256.86,0.069
150.jpg,10070.00,1750.95,0.041
151.jpg,23450.00,618.00,0.772
155.jpg,43976.00,846.00,0.772
157.jpg,4422.50,398.37,0.350
160.jpg,29945.00,817.74,0.563
161.jpg,15232.00,896.95,0.238
163.jpg,3758.00,617.21,0.124
164.jpg,3443.00,810.69,0.066
168.jpg,36516.00,766.00,0.782
172.jpg,30294.00,702.00,0.772
174.jpg,30750.00,761.25,0.667
175.jpg,42065.00,828.00,0.771
177.jpg,10156.50,914.59,0.153
178.jpg,3679.00,608.44,0.125
182.jpg,54877.50,1013.70,0.671
184.jpg,42106.00,1086.37,0.448
185.jpg,28072.50,2380.67,0.062
186.jpg,20425.00,2047.56,0.061
188.jpg,3821.00,1318.74,0.028
191.jpg,7168.50,860.91,0.122
192.jpg,28392.00,676.00,0.781
193.jpg,42726.00,875.31,0.701
194.jpg,2092.00,440.76,0.135
195.jpg,5569.50,900.79,0.086
196.jpg,6974.50,778.02,0.145
200.jpg,4216.50,1507.17,0.023
202.jpg,6234.00,429.91,0.424
203.jpg,11054.50,1333.18,0.078
208.jpg,12345.50,2080.88,0.036
209.jpg,3550.50,670.14,0.099
210.jpg,946.50,312.98,0.121
212.jpg,38700.00,790.00,0.779
213.jpg,8891.50,1034.79,0.104
214.jpg,3035.00,542.50,0.130
217.jpg,1888.00,177.68,0.751
219.jpg,10940.50,994.59,0.139
223.jpg,12740.50,868.57,0.212
225.jpg,33124.00,728.00,0.785
226.jpg,49868.00,912.00,0.753
23.jpg,30072.00,694.00,0.785
236.jpg,18104.50,3303.96,0.021
238.jpg,76774.50,4591.65,0.046
239.jpg,64503.50,2712.67,0.110
24.jpg,37098.00,782.00,0.762
243.jpg,204500.00,3077.73,0.271
25.jpg,50478.00,922.00,0.746
255.jpg,47382.00,914.00,0.713
256.jpg,24528.00,2055.76,0.073
258.jpg,21011.50,1356.58,0.143
263.jpg,14137.50,890.16,0.224
264.jpg,50176.00,896.00,0.785
267.jpg,42620.00,1342.01,0.297
272.jpg,77441.00,1116.00,0.781
273.jpg,67081.00,1036.00,0.785
280.jpg,100751.00,1296.00,0.754
281.jpg,100751.00,1296.00,0.754
283.jpg,100751.00,1296.00,0.754
284.jpg,100751.00,1296.00,0.754
288.jpg,11546.00,956.09,0.159
294.jpg,100751.00,1296.00,0.754
297.jpg,100751.00,1296.00,0.754
302.jpg,52371.50,2733.39,0.088
304.jpg,100751.00,1296.00,0.754
309.jpg,7272.00,699.90,0.187
312.jpg,39001.50,3821.16,0.034
315.jpg,25747.00,1334.88,0.182
319.jpg,67081.00,1036.00,0.785
323.jpg,17710.00,2025.20,0.054
325.jpg,7529.00,578.16,0.283
326.jpg,9501.50,1208.15,0.082
327.jpg,24853.00,1701.39,0.108
328.jpg,7387.00,497.53,0.375
330.jpg,13408.50,1210.15,0.115
331.jpg,61476.00,3113.77,0.080
332.jpg,72520.00,1078.00,0.784
337.jpg,15456.50,1108.76,0.158
338.jpg,71469.50,4498.40,0.044
339.jpg,101528.00,1302.00,0.753
341.jpg,32104.50,2030.08,0.098
342.jpg,100751.00,1296.00,0.754
343.jpg,10479.50,1243.38,0.085
344.jpg,19578.00,1047.20,0.224
351.jpg,87585.50,3594.74,0.085
353.jpg,12434.50,2382.15,0.028
354.jpg,28199.50,1689.57,0.124
356.jpg,8769.00,506.22,0.430
361.jpg,90132.00,1214.00,0.769
365.jpg,9592.00,897.55,0.150
368.jpg,45871.50,2457.02,0.095
372.jpg,44558.50,2480.51,0.091
373.jpg,66980.50,2590.43,0.125
377.jpg,74546.00,2000.05,0.234
381.jpg,99405.00,1333.05,0.703
385.jpg,100751.00,1296.00,0.754
389.jpg,96866.00,1266.00,0.759
390.jpg,100751.00,1296.00,0.754
391.jpg,100751.00,1296.00,0.754
392.jpg,100751.00,1296.00,0.754
393.jpg,77182.00,1114.00,0.782
396.jpg,6754.50,698.83,0.174
397.jpg,8657.00,939.38,0.123
40.jpg,59249.00,1020.00,0.716
402.jpg,12886.00,787.44,0.261
405.jpg,69412.00,1054.00,0.785
410.jpg,9618.00,1211.95,0.082
412.jpg,100492.00,1294.00,0.754
413.jpg,96607.00,1264.00,0.760
